"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","regulation","label"
-0.955276067518951,5.66134884946211,-4.95053274156213,6.43173994866284e-06,0.000637779811427791,3.72383299502224,"DAAM2","NS",""
-0.410327399174766,3.60109245764863,-4.94858627956902,6.47740956575083e-06,0.000637779811427791,3.71721186870695,"PDE4A","NS",""
0.538237272830486,4.88500039332801,4.94717797231594,6.51065063051529e-06,0.000637779811427791,3.71242197415097,"UBE2S","NS",""
0.525968416117537,5.52803382190647,4.94554479401894,6.54940895102928e-06,0.000637779811427791,3.7068679209781,"PPDPF","NS",""
0.244799508274911,5.5314654385621,4.94522156064102,6.55710664792169e-06,0.000637779811427791,3.70576876558896,"RSPRY1","NS",""
0.51428011442467,4.71481997547282,4.93860493963529,6.71664296493887e-06,0.000649289222076944,3.68327511426858,"KNTC1","NS",""
-0.338454329475234,6.82211964888513,-4.93583408788905,6.78457716386355e-06,0.000651857209579256,3.67385892014078,"NEK7","NS",""
0.308468254430792,6.07684142088363,4.92983665602238,6.9339340716594e-06,0.000662169691922044,3.65348493392109,"PSMD10","NS",""
0.83104196518974,4.34795478782845,4.92689872501853,7.0082702997802e-06,0.000665236838033955,3.64350798929248,"ASF1B","NS",""
0.314254004164709,4.79919805617746,4.92401565123185,7.08197777715979e-06,0.000665251491359083,3.63371961250779,"PAK4","NS",""
-0.56604409103498,5.67781637895101,-4.92203780431003,7.1329814981473e-06,0.000665251491359083,3.62700589489585,"GATA6","NS",""
0.336726865372404,5.59029993277267,4.92180202471138,7.13908563139829e-06,0.000665251491359083,3.6262056220464,"PIP4K2C","NS",""
0.886893058284518,4.21267489941903,4.92033033260803,7.17730237551844e-06,0.000665251491359083,3.62121081091489,"DTL","NS",""
-0.469246026419754,5.47875165095782,-4.9024740107841,7.65727586665535e-06,0.000705588864508119,3.56065497822273,"LIMCH1","NS",""
